"date","bvid","title","view","reply","like","coin","favorite","share","time","pubdate"
"2026-08-11","BV19wLX61EpR","最新发布！【秋叶ComfyUI-v13】中文整合包来了！支持20/30/40/50系显卡，Win+Mac一键下载安装,AI生图/AI视（附Comfyui整合包）","84375","433","386","592","392","376","2026-08-11 00:00","1781694000"
"2026-08-11","BV1cbuw6eE16","【秋叶ComfyUI】秋叶最新发布！ComfyUI 中文满血整合包来了！支持50 40 30系显卡，Win+Mac一键下载安装（附新Comfyui整合包）","11476","11","79","147","75","102","2026-08-11 00:00","1785825289"
"2026-08-11","BV1eSMC6TENM","【秋叶ComfyUI】秋叶最新发布！ComfyUI 旗舰中文版整合包来了！全中文界面支持中文提示词，Win+Mac一键下载安装教程（附新Comfyui整合包）","14260","290","1210","2273","1221","163","2026-08-11 00:00","1785908170"
"2026-08-11","BV1g4Ei6KEWJ","【全100集】B站最详细StableDiffusion+Comfyui全套保姆级教程——秋叶零基础入门到精通，全程干货无废话，允许白嫖，拿走不谢！（附SD安装包","55124","233","246","399","274","231","2026-08-11 00:00","1781184167"
"2026-08-11","BV1GFVf6sECB","7月最新【秋叶ComfyUI-v10中文版】！全中文界面支持中文提示词！支持50 40 30系显卡，Win+Mac一键安装，解压即用（附Comfyui整合包）","375943","19360","13703","22099","15901","2299","2026-08-11 00:00","1780308932"
"2026-08-11","BV1NfKw6AEeo","8月【秋叶ComfyUI桌面版】全新发布！ai绘画ai视频一键生成，适配20/30/40/50系显卡，Win+Mac一键安装解压即用无私传递（附整合包+工作流）","66896","1407","2085","3346","2417","659","2026-08-11 00:00","1784355819"
"2026-08-11","BV1o9uy6jEyM","8月更新【秋叶ComfyUI-VX中文版】全面支持中文提示词输入！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","5859","113","232","428","245","21","2026-08-11 00:00","1786262763"
"2026-08-11","BV1QZM16zEMK","8月最新【秋叶ComfyUI-VX中文版】全中文界面支持中文提示词！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","24301","1196","1543","2452","1749","208","2026-08-11 00:00","1785974400"
"2026-08-11","BV1sh3C6cEXN","【秋叶ComfyUI终极整合包】全中文界面支持中文提示词！支持全部英伟达显卡！详细从零开始学习AI绘画comfyui工作流搭建，（附整合包工作流）","47396","624","901","1626","925","363","2026-08-11 00:00","1785315707"
"2026-08-11","BV1Tjgk6fEQw","【ComfyUI-模型】音画同步，AI视频一键生成，8g显存也能玩。LTX2.3模型完全体！从入门到进阶,镜头运镜,提示词工具。一键安装，点开即用（附软件模型）","61462","1627","2805","4022","3212","732","2026-08-11 00:00","1784694905"
"2026-08-11","BV1wfT76GEME","【ComfyUI-V13旗舰版】秋叶最新教程发布！全中文界面，中文提示词！全面适配50 40 30系显卡，Win+Mac一键安装，解压即用，（附整合包+工作流）","158539","4866","5742","8961","6878","1657","2026-08-11 00:00","1782998112"
"2026-08-11","BV15AdgB4En4","7月24日【 秋叶ComfyUI中文版】重磅更新！！ComfyUI 旗舰整合包来了！，Win+Mac一键下载安装无私分享（附Comfyui整合包）","120828","5480","11573","20136","13037","1199","2026-08-11 02:00","1778241600"
"2026-08-11","BV15c7h6REzw","【秋叶 ComfyUI】秋叶最新发布！支持20/30/40/50系显卡，ComfyUI V10中文整合包来了！Win+Mac一键安装（附Comfyui整合包）","51311","153","157","262","156","134","2026-08-11 02:00","1782376418"
"2026-08-11","BV18egC6NEPm","【ComfyUI最强视频模型】LTX2.3最新NSFW破限制视频/漫剧一键整合包！无视审查！低至8G显存运行！LTX导演台、多参生视频、Scail2动作迁移等","61943","1467","1563","2800","1598","670","2026-08-11 02:00","1784717074"
"2026-08-11","BV19wLX61EpR","最新发布！【秋叶ComfyUI-v13】中文整合包来了！支持20/30/40/50系显卡，Win+Mac一键下载安装,AI生图/AI视（附Comfyui整合包）","84375","433","386","592","392","376","2026-08-11 02:00","1781694000"
"2026-08-11","BV1cbuw6eE16","【秋叶ComfyUI】秋叶最新发布！ComfyUI 中文满血整合包来了！支持50 40 30系显卡，Win+Mac一键下载安装（附新Comfyui整合包）","11477","11","79","147","75","102","2026-08-11 02:00","1785825289"
"2026-08-11","BV1eSMC6TENM","【秋叶ComfyUI】秋叶最新发布！ComfyUI 旗舰中文版整合包来了！全中文界面支持中文提示词，Win+Mac一键下载安装教程（附新Comfyui整合包）","14274","292","1211","2275","1221","163","2026-08-11 02:00","1785908170"
"2026-08-11","BV1g4Ei6KEWJ","【全100集】B站最详细StableDiffusion+Comfyui全套保姆级教程——秋叶零基础入门到精通，全程干货无废话，允许白嫖，拿走不谢！（附SD安装包","55124","233","246","399","274","231","2026-08-11 02:00","1781184167"
"2026-08-11","BV1GFVf6sECB","7月最新【秋叶ComfyUI-v10中文版】！全中文界面支持中文提示词！支持50 40 30系显卡，Win+Mac一键安装，解压即用（附Comfyui整合包）","376117","19360","13704","22099","15901","2299","2026-08-11 02:00","1780308932"
"2026-08-11","BV1NfKw6AEeo","8月【秋叶ComfyUI桌面版】全新发布！ai绘画ai视频一键生成，适配20/30/40/50系显卡，Win+Mac一键安装解压即用无私传递（附整合包+工作流）","66907","1407","2086","3346","2419","659","2026-08-11 02:00","1784355819"
"2026-08-11","BV1o9uy6jEyM","8月更新【秋叶ComfyUI-VX中文版】全面支持中文提示词输入！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","5883","116","233","430","247","21","2026-08-11 02:00","1786262763"
"2026-08-11","BV1QZM16zEMK","8月最新【秋叶ComfyUI-VX中文版】全中文界面支持中文提示词！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","24766","1214","1565","2464","1789","208","2026-08-11 02:00","1785974400"
"2026-08-11","BV1sh3C6cEXN","【秋叶ComfyUI终极整合包】全中文界面支持中文提示词！支持全部英伟达显卡！详细从零开始学习AI绘画comfyui工作流搭建，（附整合包工作流）","47397","624","901","1626","925","363","2026-08-11 02:00","1785315707"
"2026-08-11","BV1Tjgk6fEQw","【ComfyUI-模型】音画同步，AI视频一键生成，8g显存也能玩。LTX2.3模型完全体！从入门到进阶,镜头运镜,提示词工具。一键安装，点开即用（附软件模型）","61504","1627","2809","4024","3217","733","2026-08-11 02:00","1784694905"
"2026-08-11","BV1wfT76GEME","【ComfyUI-V13旗舰版】秋叶最新教程发布！全中文界面，中文提示词！全面适配50 40 30系显卡，Win+Mac一键安装，解压即用，（附整合包+工作流）","158569","4866","5743","8961","6880","1657","2026-08-11 02:00","1782998112"
"2026-08-11","BV15AdgB4En4","7月24日【 秋叶ComfyUI中文版】重磅更新！！ComfyUI 旗舰整合包来了！，Win+Mac一键下载安装无私分享（附Comfyui整合包）","120830","5480","11573","20136","13037","1199","2026-08-11 05:00","1778241600"
"2026-08-11","BV15c7h6REzw","【秋叶 ComfyUI】秋叶最新发布！支持20/30/40/50系显卡，ComfyUI V10中文整合包来了！Win+Mac一键安装（附Comfyui整合包）","51311","153","157","262","156","134","2026-08-11 05:00","1782376418"
"2026-08-11","BV18egC6NEPm","【ComfyUI最强视频模型】LTX2.3最新NSFW破限制视频/漫剧一键整合包！无视审查！低至8G显存运行！LTX导演台、多参生视频、Scail2动作迁移等","61944","1467","1563","2800","1598","670","2026-08-11 05:00","1784717074"
"2026-08-11","BV19wLX61EpR","最新发布！【秋叶ComfyUI-v13】中文整合包来了！支持20/30/40/50系显卡，Win+Mac一键下载安装,AI生图/AI视（附Comfyui整合包）","84375","433","386","592","392","376","2026-08-11 05:00","1781694000"
"2026-08-11","BV1cbuw6eE16","【秋叶ComfyUI】秋叶最新发布！ComfyUI 中文满血整合包来了！支持50 40 30系显卡，Win+Mac一键下载安装（附新Comfyui整合包）","11477","11","79","147","75","102","2026-08-11 05:00","1785825289"
"2026-08-11","BV1eSMC6TENM","【秋叶ComfyUI】秋叶最新发布！ComfyUI 旗舰中文版整合包来了！全中文界面支持中文提示词，Win+Mac一键下载安装教程（附新Comfyui整合包）","14288","292","1237","2319","1247","163","2026-08-11 05:00","1785908170"
"2026-08-11","BV1g4Ei6KEWJ","【全100集】B站最详细StableDiffusion+Comfyui全套保姆级教程——秋叶零基础入门到精通，全程干货无废话，允许白嫖，拿走不谢！（附SD安装包","55124","233","246","399","274","231","2026-08-11 05:00","1781184167"
"2026-08-11","BV1GFVf6sECB","7月最新【秋叶ComfyUI-v10中文版】！全中文界面支持中文提示词！支持50 40 30系显卡，Win+Mac一键安装，解压即用（附Comfyui整合包）","376128","19361","13705","22101","15903","2299","2026-08-11 05:00","1780308932"
"2026-08-11","BV1NfKw6AEeo","8月【秋叶ComfyUI桌面版】全新发布！ai绘画ai视频一键生成，适配20/30/40/50系显卡，Win+Mac一键安装解压即用无私传递（附整合包+工作流）","67926","1407","2109","3390","2445","659","2026-08-11 05:00","1784355819"
"2026-08-11","BV1o9uy6jEyM","8月更新【秋叶ComfyUI-VX中文版】全面支持中文提示词输入！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","7826","121","257","480","273","21","2026-08-11 05:00","1786262763"
"2026-08-11","BV1QZM16zEMK","8月最新【秋叶ComfyUI-VX中文版】全中文界面支持中文提示词！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","25672","1221","1597","2513","1833","208","2026-08-11 05:00","1785974400"
"2026-08-11","BV1sh3C6cEXN","【秋叶ComfyUI终极整合包】全中文界面支持中文提示词！支持全部英伟达显卡！详细从零开始学习AI绘画comfyui工作流搭建，（附整合包工作流）","47397","624","901","1626","925","363","2026-08-11 05:00","1785315707"
"2026-08-11","BV1Tjgk6fEQw","【ComfyUI-模型】音画同步，AI视频一键生成，8g显存也能玩。LTX2.3模型完全体！从入门到进阶,镜头运镜,提示词工具。一键安装，点开即用（附软件模型）","61541","1628","2810","4026","3221","733","2026-08-11 05:00","1784694905"
"2026-08-11","BV1wfT76GEME","【ComfyUI-V13旗舰版】秋叶最新教程发布！全中文界面，中文提示词！全面适配50 40 30系显卡，Win+Mac一键安装，解压即用，（附整合包+工作流）","158615","4867","5744","8963","6882","1657","2026-08-11 05:00","1782998112"
"2026-08-11","BV15AdgB4En4","7月24日【 秋叶ComfyUI中文版】重磅更新！！ComfyUI 旗舰整合包来了！，Win+Mac一键下载安装无私分享（附Comfyui整合包）","120831","5480","11573","20136","13037","1199","2026-08-11 07:00","1778241600"
"2026-08-11","BV15c7h6REzw","【秋叶 ComfyUI】秋叶最新发布！支持20/30/40/50系显卡，ComfyUI V10中文整合包来了！Win+Mac一键安装（附Comfyui整合包）","51311","153","157","262","156","134","2026-08-11 07:00","1782376418"
"2026-08-11","BV18egC6NEPm","【ComfyUI最强视频模型】LTX2.3最新NSFW破限制视频/漫剧一键整合包！无视审查！低至8G显存运行！LTX导演台、多参生视频、Scail2动作迁移等","61946","1468","1564","2802","1599","670","2026-08-11 07:00","1784717074"
"2026-08-11","BV19wLX61EpR","最新发布！【秋叶ComfyUI-v13】中文整合包来了！支持20/30/40/50系显卡，Win+Mac一键下载安装,AI生图/AI视（附Comfyui整合包）","84377","433","386","592","392","376","2026-08-11 07:00","1781694000"
"2026-08-11","BV1cbuw6eE16","【秋叶ComfyUI】秋叶最新发布！ComfyUI 中文满血整合包来了！支持50 40 30系显卡，Win+Mac一键下载安装（附新Comfyui整合包）","11477","11","79","147","75","102","2026-08-11 07:00","1785825289"
"2026-08-11","BV1eSMC6TENM","【秋叶ComfyUI】秋叶最新发布！ComfyUI 旗舰中文版整合包来了！全中文界面支持中文提示词，Win+Mac一键下载安装教程（附新Comfyui整合包）","14290","292","1237","2319","1248","163","2026-08-11 07:00","1785908170"
"2026-08-11","BV1g4Ei6KEWJ","【全100集】B站最详细StableDiffusion+Comfyui全套保姆级教程——秋叶零基础入门到精通，全程干货无废话，允许白嫖，拿走不谢！（附SD安装包","55124","233","246","399","274","231","2026-08-11 07:00","1781184167"
"2026-08-11","BV1GFVf6sECB","7月最新【秋叶ComfyUI-v10中文版】！全中文界面支持中文提示词！支持50 40 30系显卡，Win+Mac一键安装，解压即用（附Comfyui整合包）","376136","19361","13706","22101","15904","2299","2026-08-11 07:00","1780308932"
"2026-08-11","BV1NfKw6AEeo","8月【秋叶ComfyUI桌面版】全新发布！ai绘画ai视频一键生成，适配20/30/40/50系显卡，Win+Mac一键安装解压即用无私传递（附整合包+工作流）","67935","1408","2109","3390","2445","659","2026-08-11 07:00","1784355819"
"2026-08-11","BV1o9uy6jEyM","8月更新【秋叶ComfyUI-VX中文版】全面支持中文提示词输入！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","7845","122","259","484","275","21","2026-08-11 07:00","1786262763"
"2026-08-11","BV1QZM16zEMK","8月最新【秋叶ComfyUI-VX中文版】全中文界面支持中文提示词！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","29139","1230","1609","2523","1852","210","2026-08-11 07:00","1785974400"
"2026-08-11","BV1sh3C6cEXN","【秋叶ComfyUI终极整合包】全中文界面支持中文提示词！支持全部英伟达显卡！详细从零开始学习AI绘画comfyui工作流搭建，（附整合包工作流）","47397","624","901","1626","925","363","2026-08-11 07:00","1785315707"
"2026-08-11","BV1Tjgk6fEQw","【ComfyUI-模型】音画同步，AI视频一键生成，8g显存也能玩。LTX2.3模型完全体！从入门到进阶,镜头运镜,提示词工具。一键安装，点开即用（附软件模型）","61555","1628","2811","4026","3222","733","2026-08-11 07:00","1784694905"
"2026-08-11","BV1wfT76GEME","【ComfyUI-V13旗舰版】秋叶最新教程发布！全中文界面，中文提示词！全面适配50 40 30系显卡，Win+Mac一键安装，解压即用，（附整合包+工作流）","158631","4867","5744","8963","6882","1657","2026-08-11 07:00","1782998112"
"2026-08-11","BV15AdgB4En4","7月24日【 秋叶ComfyUI中文版】重磅更新！！ComfyUI 旗舰整合包来了！，Win+Mac一键下载安装无私分享（附Comfyui整合包）","120834","5480","11572","20136","13036","1199","2026-08-11 12:00","1778241600"
"2026-08-11","BV15c7h6REzw","【秋叶 ComfyUI】秋叶最新发布！支持20/30/40/50系显卡，ComfyUI V10中文整合包来了！Win+Mac一键安装（附Comfyui整合包）","51314","153","157","262","156","134","2026-08-11 12:00","1782376418"
"2026-08-11","BV18egC6NEPm","【ComfyUI最强视频模型】LTX2.3最新NSFW破限制视频/漫剧一键整合包！无视审查！低至8G显存运行！LTX导演台、多参生视频、Scail2动作迁移等","61961","1469","1565","2804","1600","670","2026-08-11 12:00","1784717074"
"2026-08-11","BV19wLX61EpR","最新发布！【秋叶ComfyUI-v13】中文整合包来了！支持20/30/40/50系显卡，Win+Mac一键下载安装,AI生图/AI视（附Comfyui整合包）","84379","433","386","592","392","376","2026-08-11 12:00","1781694000"
"2026-08-11","BV1cbuw6eE16","【秋叶ComfyUI】秋叶最新发布！ComfyUI 中文满血整合包来了！支持50 40 30系显卡，Win+Mac一键下载安装（附新Comfyui整合包）","11480","11","79","147","75","102","2026-08-11 12:00","1785825289"
"2026-08-11","BV1eSMC6TENM","【秋叶ComfyUI】秋叶最新发布！ComfyUI 旗舰中文版整合包来了！全中文界面支持中文提示词，Win+Mac一键下载安装教程（附新Comfyui整合包）","14330","294","1258","2359","1270","163","2026-08-11 12:00","1785908170"
"2026-08-11","BV1g4Ei6KEWJ","【全100集】B站最详细StableDiffusion+Comfyui全套保姆级教程——秋叶零基础入门到精通，全程干货无废话，允许白嫖，拿走不谢！（附SD安装包","55126","233","246","399","274","231","2026-08-11 12:00","1781184167"
"2026-08-11","BV1GFVf6sECB","7月最新【秋叶ComfyUI-v10中文版】！全中文界面支持中文提示词！支持50 40 30系显卡，Win+Mac一键安装，解压即用（附Comfyui整合包）","376207","19365","13708","22102","15906","2299","2026-08-11 12:00","1780308932"
"2026-08-11","BV1NfKw6AEeo","8月【秋叶ComfyUI桌面版】全新发布！ai绘画ai视频一键生成，适配20/30/40/50系显卡，Win+Mac一键安装解压即用无私传递（附整合包+工作流）","69343","1398","2131","3430","2467","659","2026-08-11 12:00","1784355819"
"2026-08-11","BV1o9uy6jEyM","8月更新【秋叶ComfyUI-VX中文版】全面支持中文提示词输入！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","7973","129","284","527","301","22","2026-08-11 12:00","1786262763"
"2026-08-11","BV1QZM16zEMK","8月最新【秋叶ComfyUI-VX中文版】全中文界面支持中文提示词！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","33850","1288","1676","2613","1924","212","2026-08-11 12:00","1785974400"
"2026-08-11","BV1sh3C6cEXN","【秋叶ComfyUI终极整合包】全中文界面支持中文提示词！支持全部英伟达显卡！详细从零开始学习AI绘画comfyui工作流搭建，（附整合包工作流）","47402","625","901","1626","925","363","2026-08-11 12:00","1785315707"
"2026-08-11","BV1Tjgk6fEQw","【ComfyUI-模型】音画同步，AI视频一键生成，8g显存也能玩。LTX2.3模型完全体！从入门到进阶,镜头运镜,提示词工具。一键安装，点开即用（附软件模型）","61651","1632","2819","4034","3233","733","2026-08-11 12:00","1784694905"
"2026-08-11","BV1wfT76GEME","【ComfyUI-V13旗舰版】秋叶最新教程发布！全中文界面，中文提示词！全面适配50 40 30系显卡，Win+Mac一键安装，解压即用，（附整合包+工作流）","158695","4868","5744","8963","6882","1657","2026-08-11 12:00","1782998112"
"2026-08-11","BV15AdgB4En4","7月24日【 秋叶ComfyUI中文版】重磅更新！！ComfyUI 旗舰整合包来了！，Win+Mac一键下载安装无私分享（附Comfyui整合包）","120836","5480","11572","20136","13035","1199","2026-08-11 16:00","1778241600"
"2026-08-11","BV15c7h6REzw","【秋叶 ComfyUI】秋叶最新发布！支持20/30/40/50系显卡，ComfyUI V10中文整合包来了！Win+Mac一键安装（附Comfyui整合包）","51314","153","157","262","156","134","2026-08-11 16:00","1782376418"
"2026-08-11","BV18egC6NEPm","【ComfyUI最强视频模型】LTX2.3最新NSFW破限制视频/漫剧一键整合包！无视审查！低至8G显存运行！LTX导演台、多参生视频、Scail2动作迁移等","61980","1474","1566","2806","1600","670","2026-08-11 16:00","1784717074"
"2026-08-11","BV19wLX61EpR","最新发布！【秋叶ComfyUI-v13】中文整合包来了！支持20/30/40/50系显卡，Win+Mac一键下载安装,AI生图/AI视（附Comfyui整合包）","84380","433","386","592","392","376","2026-08-11 16:00","1781694000"
"2026-08-11","BV1cbuw6eE16","【秋叶ComfyUI】秋叶最新发布！ComfyUI 中文满血整合包来了！支持50 40 30系显卡，Win+Mac一键下载安装（附新Comfyui整合包）","11481","11","79","147","75","102","2026-08-11 16:00","1785825289"
"2026-08-11","BV1eSMC6TENM","【秋叶ComfyUI】秋叶最新发布！ComfyUI 旗舰中文版整合包来了！全中文界面支持中文提示词，Win+Mac一键下载安装教程（附新Comfyui整合包）","14371","301","1349","2540","1360","163","2026-08-11 16:00","1785908170"
"2026-08-11","BV1g4Ei6KEWJ","【全100集】B站最详细StableDiffusion+Comfyui全套保姆级教程——秋叶零基础入门到精通，全程干货无废话，允许白嫖，拿走不谢！（附SD安装包","55127","233","246","399","274","231","2026-08-11 16:00","1781184167"
"2026-08-11","BV1GFVf6sECB","7月最新【秋叶ComfyUI-v10中文版】！全中文界面支持中文提示词！支持50 40 30系显卡，Win+Mac一键安装，解压即用（附Comfyui整合包）","376261","19376","13709","22104","15906","2299","2026-08-11 16:00","1780308932"
"2026-08-11","BV1NfKw6AEeo","8月【秋叶ComfyUI桌面版】全新发布！ai绘画ai视频一键生成，适配20/30/40/50系显卡，Win+Mac一键安装解压即用无私传递（附整合包+工作流）","69399","1399","2131","3430","2470","659","2026-08-11 16:00","1784355819"
